Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
48,83.0,7,12.0,66,11.0,34,30,55.0,26,40.0,64
28,68.0,76,91.0,7,70.0,100,13,92.0,11,38.0,82
84,88.0,72,12.0,70,41.0,66,15,25.0,92,24.0,19
98,20.0,78,4.0,43,48.0,32,16,15.0,64,36.0,32
25,54.0,64,92.0,87,73.0,100,21,8.0,7,64.0,37
52,49.0,39,23.0,0,69.0,12,4,52.0,61,64.0,70
17,59.0,69,0.0,42,23.0,77,65,25.0,4,61.0,65
68,89.0,67,49.0,42,84.0,26,59,92.0,15,9.0,75
26,21.0,99,73.0,43,31.0,53,90,93.0,52,16.0,95
53,93.0,90,65.0,74,47.0,8,8,28.0,14,73.0,74
28,79.0,98,77.0,29,21.0,50,45,98.0,27,77.0,92
68,8.0,53,33.0,90,62.0,68,68,89.0,4,97.0,8
1,30.0,93,40.0,64,59.0,83,52,54.0,42,82.0,100
52,44.0,83,12.0,98,94.0,99,4,3.0,31,24.0,10
43,74.0,10,24.0,4,16.0,17,96,31.0,63,53.0,35
70,39.0,94,4.0,42,72.0,43,70,78.0,92,59.0,0
47,69.0,4,73.0,10,43.0,39,76,62.0,54,90.0,66
68,8.0,29,83.0,91,27.0,37,92,85.0,50,19.0,86
97,40.0,1,77.0,86,36.0,71,88,46.0,57,51.0,53
58,52.0,91,80.0,27,81.0,32,52,2.0,56,29.0,1
0,51.0,25,45.0,98,83.0,44,91,20.0,83,93.0,89
92,54.0,57,18.0,23,67.0,65,71,89.0,14,83.0,19
82,66.0,0,6.0,13,80.0,26,81,63.0,38,20.0,39
50,6.0,13,52.0,28,5.0,37,40,78.0,64,24.0,7
33,78.0,6,64.0,34,65.0,57,54,37.0,37,56.0,40
25,15.0,33,4.0,90,57.0,27,73,95.0,92,94.0,43
60,2.0,3,94.0,30,26.0,10,68,84.0,3,0.0,69
30,87.0,83,67.0,75,76.0,90,5,17.0,53,46.0,66
77,,16,63.0,40,82.0,72,62,56.0,35,42.0,71
1,,57,66.0,75,74.0,66,27,81.0,97,44.0,30
60,,96,,73,,21,31,,70,,11
